Hipólito Yrigoyen 1392	-37.995371, -57.547797
Luro 3039	-37.996408, -57.550523
Rioja y Belgrano	-37.998964, -57.552206
Catamarca 1877	-37.998284, -57.553055
Rivadavia 2820	-37.999000, -57.550005
Belgrano 2635	-38.000855, -57.548484
Belgrano 2559	-38.001239, -57.547692
Belgrano 2437	-38.001842, -57.546476
Santa Fe 2035	-38.003121, -57.547006
Bolívar 2455	-38.003343, -57.547902
Santiago del Estero 2050	-38.002755, -57.548065
Santiago del Estero 2151	-38.003568, -57.548753
Bolívar 2631	-38.002453, -57.549760
San Luis 2078	-38.001967, -57.550242
Hipólito Yrigoyen 2071	-38.000906, -57.552243
Catamarca 2125	-38.000275, -57.554666
Colon 3100	-38.000470, -57.555943
Colon 3231	-38.000238, -57.556437
Salta 2151	-37.999471, -57.556878
Bolivar 3323	-37.998890, -57.556729
Bolivar 3349	-37.998754, -57.557009
Moreno 3450	-37.997441, -57.557386
Jujuy 1956	-37.997319, -57.556592
Jujuy 1754	-37.995767, -57.555343
Salta 1678	-37.995675, -57.553837
San Martin 2980	-37.997604, -57.550647
Belgrano 2944	-37.999280, -57.551631
